Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
12_PlaceOrder(A),150,2979,2480,3964,4241,4861,2274,5300,69.333%,.13174,0.87,1.08
11_Cont2nd(AC),120,1585,1541,1994,2244,2673,1267,2964,0.000%,.10997,1.40,0.43
09_ProceedCheckout(CL),120,1836,1795,2478,2651,3238,1270,3386,0.000%,.10389,1.26,0.31
13_SignOut-109,379,2268,2109,2920,3256,3884,1700,18663,100.000%,.32754,5.30,1.12
13_SignOut,360,2262,2102,2920,3256,3874,1700,18663,100.000%,.31324,5.07,1.07
10_Cont1st(CL),110,1600,1575,2047,2138,2808,1209,2825,0.000%,.10120,1.27,0.39
11_Cont2nd(CL),110,1600,1614,1993,2088,2797,1245,3313,0.000%,.10120,1.32,0.39
12_PlaceOrder(AC),120,3597,3102,4639,5067,5534,2778,5774,65.833%,.10554,0.76,0.87
12_PlaceOrder(CL),109,3710,3328,4638,5188,6298,2787,7191,63.303%,.09817,0.74,0.82
TOTAL,16149,1533,1413,2861,3260,4316,4,18663,7.709%,11.46187,108.06,33.35
